Unnamed: 0,SriLanka_creole,phonetic_transcription,Portuguese_definition,Portuguese_IPA,English_definition,pos,Related_languages,pt_related annotations,sources,original_full_entry,original_Portuguese_definition,original_linguistic_notes,page
782,Discontentomento,diskontentomento,descontentamento,dɨʃ.kõ.tẽ.tɐ.ˈmẽ.tu,discontent,noun,,,,"Discontentomento, discon-tentamento.",descontentamento,,150.0
787,Disfiel,disfiel,infiel,ĩ.ˈfjɛɫ,infidel,adjective,,,,"Disfiel, disfieldado (C. de N.), infiel. Disfielmente, incredulamente. Disfieldade, infidelidade. Cfr. desfruitoso.",infiel,,150.0
788,disfieldado,disfieldado,infiel,ĩ.ˈfjɛɫ,infidel,adjective,,,,"Disfiel, disfieldado (C. de N.), infiel. Disfielmente, incredulamente. Disfieldade, infidelidade. Cfr. desfruitoso.",infiel,,150.0
790,Disfieldade,disfieldade,infidelidade,ĩ.fi.dɨ.li.ˈda.dɨ,infidelity,noun,,,,,infidelidade,,
800,Dismuê,dizmueː,digerir,di.ʒɨ.ˈɾiɾ,digest,verb,,,,"Dismuê {Br. 2), digerir.",digerir,,150.0
802,Disobedecido,dizobedesido,desobediente,dɨ.zɔ.bɨ.ˈdjẽ.tɨ,disobedient,adjective,,,,"Disobedecido, desobediente. Cfr, descontentado.",desobediente,,150.0
804,Dispidê,dispideː,despedir,dɨʃ.pɨ.ˈdiɾ,dismiss,verb,,,,"Dispidê, despedir. Dispi-didè, despedida.",despedir,,150.0
805,Dispôs,dispoːs,depois,dɨ.ˈpojʃ,after,adverb,Capeverdean creole,,,"Dispôs (p. us.), depois. Dial. cab. — Port. are. despos, despus.",depois,pouco usado,150.0
807,Disputação,disputasaːo,disputa,diʃ.ˈpu.tɐ,dispute,noun,,,,"Disputação, desputa. Cfr. cuidaçáo, mudação.",desputa,,150.0
833,Dominião,dominiaːo,domínio,du.ˈmi.nju,domain,noun,,,Novo testamento,"Dominião (A^. 7"".), domínio.",domínio,,151.0
835,Dós,doːs,dois,ˈdojʃ,two,numeral,"Capeverdean creole, Cochin creole, Macao creole",,,"Dós, dous (t. us.), dois. Dial. coch. Dial. mac. e cab. dás.",dois,,151.0
836,dous,dous,dois,ˈdojʃ,two,numeral,"Capeverdean creole, Cochin creole, Macao creole",,,"Dós, dous (t. us.), dois. Dial. coch. Dial. mac. e cab. dás.",dois,,151.0
842,Dozeiro,dozeiɾo,segundo,sɨ.ˈɡũ.du,second,numeral,,,,"Dozeiro, douzeiro, segundo (mais us.). Dozeiromente, em segundo logar. Cfr. francês deuxième.",segundo,,151.0
843,douzeiro,douzeiɾo,segundo,sɨ.ˈɡũ.du,second,numeral,,,,"Dozeiro, douzeiro, segundo (mais us.). Dozeiromente, em segundo logar. Cfr. francês deuxième.",segundo,,151.0
844,Dózimo,doːzimo,duodécimo,du.ɔ.ˈdɛ.si.mu,twelfth,numeral,,,,"Dózimo, duodécimo. Cfr. décimo, ónjimo.",duodécimo,,151.0
847,Dreito,dɾeito,direito,di.ˈɾɐj.tu,right,noun,Macao creole,,,"Dreito, dreto, direito. Dre-to: dial. mac. —Vulg. no Portuguese-based creoles of Indian mainland.",direito,,151.0
848,dreto,dɾeto,direito,di.ˈɾɐj.tu,right,noun,Macao creole,,,"Dreito, dreto, direito. Dre-to: dial. mac. —Vulg. no Portuguese-based creoles of Indian mainland.",direito,,151.0
849,Dromi,dɾomi,dormir,duɾ.ˈmiɾ,sleep,verb,Macao creole,Dialectal Portuguese,,"Dromi, dromô, drumé, dormir. Dial. mac. dromi. — Port. Dialetal Portuguese. drumir.",dormir,,151.0
850,dromé,dɾomeː,dormir,duɾ.ˈmiɾ,sleep,verb,Macao creole,Dialectal Portuguese,,"Dromi, dromô, drumé, dormir. Dial. mac. dromi. — Port. Dialetal Portuguese. drumir.",dormir,,151.0
851,drumé,dɾumeː,dormir,duɾ.ˈmiɾ,sleep,verb,Macao creole,Dialectal Portuguese,,"Dromi, dromô, drumé, dormir. Dial. mac. dromi. — Port. Dialetal Portuguese. drumir.",dormir,,151.0
852,Dromiçá,dɾomisaː,adormecer,ɐ.duɾ.mɨ.ˈseɾ,fall asleep,verb,,,,"Dromiçá,, adormecer.",adormecer,,151.0
853,Dromiçá,dɾomisaː,adormecer,ɐ.duɾ.mɨ.ˈseɾ,fall asleep,verb,,,,"Dromiçá,, adormecer.",adormecer,,151.0
856,Dúki,duːki,duque,ˈdu.kɨ,duke,noun,,,,"Dúki, duque. Dukesè, du-queza.",duque,,151.0
857,Dukesè,dukezeː,duquesa,du.ˈke.zɐ,duchess,noun,,,,,duquesa,,
858,Durança,duɾansa,duração,du.ɾɐ.ˈsɐ̃w̃,duration,noun,,,,"Durança, duração. Cfr. mo-rança, cuidança.",duração,,151.0
859,Duvidade,duʋidade,dúvida,ˈdu.vi.dɐ,doubt,noun,,,,"Duvidade, duvidança, duvida.— Deriv. norm. de duvida.",duvida,derivado,151.0
860,duvidança,duʋidansa,dúvida,ˈdu.vi.dɐ,doubt,noun,,,,"Duvidade, duvidança, duvida.— Deriv. norm. de duvida.",duvida,derivado,151.0
867,Egualadomente,egualadomente,igualmente,i.ɡwaɫ.ˈmẽ.tɨ,equally,adverb,,,,,igualmente,,
870,Emperador,empeɾadoɾ,imperador,ĩ.pɨ.ɾɐ.ˈdoɾ,emperor,noun,,Old Portuguese,,"Emperador, emperdor, imperador. Emperadora, empe-netris (Oursoix)imperatriz.— Emperador: port. arch.",imperador,,151.0
871,emperdor,empeɾdoɾ,imperador,ĩ.pɨ.ɾɐ.ˈdoɾ,emperor,noun,,Old Portuguese,,"Emperador, emperdor, imperador. Emperadora, empe-netris (Oursoix)imperatriz.— Emperador: port. arch.",imperador,,151.0
872,Empressado,empɾesado,impresso,ĩ.ˈpɾɛ.su,printed,noun,,,,Empressado.  V.  impres-,impresso,,151.0
873,Encenso,ensenso,incenso,ĩ.ˈsẽ.su,incense,noun,,,,"Encenso, incenso.",incenso,,151.0
879,Enferno,enfeɾno,inferno,ĩ.ˈfɛɾ.nu,hell,noun,,,,"Enfemo, inferno.",inferno,,152.0
882,Engrato,engɾato,ingrato,ĩ.ˈɡɾa.tu,ungrateful,noun,,,,"Engrato, ingrato. Dial.alem-",ingrato,,152.0
887,Enjoelho,end̠ʒoeʎo,joelho,ˈʒwɐj.ʎu,knee,noun,,,,"Enjoellio. V. injoelho. En-joelhá [Br. i), ajoelhar.",joelho,,152.0
890,Enluminá,enluminaː,iluminar,i.lu.mi.ˈnaɾ,illuminate,verb,,,,"Enluminá, enlumiá, illu-minar.",illuminar,,152.0
891,enlumiá,enlumiaː,iluminar,i.lu.mi.ˈnaɾ,illuminate,verb,,,,"Enluminá, enlumiá, illu-minar.",illuminar,,152.0
895,Enteiro,enteiɾo,inteiro,ĩ.ˈtɐj.ɾu,inteiro,adjective,,,,"Enteiro, inteiro.",inteiro,,152.0
897,Envéja,enʋeːd̠ʒa,inveja,ĩ.ˈvɐj.ʒɐ,envy,noun,,,,"Envêja, envejè, envéjo, en-veijo, inveja.",inveja,,152.0
898,envejè,enʋed̠ʒeː,inveja,ĩ.ˈvɐj.ʒɐ,envy,noun,,,,"Envêja, envejè, envéjo, en-veijo, inveja.",inveja,,152.0
899,envéjo,enʋeːd̠ʒo,inveja,ĩ.ˈvɐj.ʒɐ,envy,noun,,,,"Envêja, envejè, envéjo, en-veijo, inveja.",inveja,,152.0
900,enveijo,enʋeid̠ʒo,inveja,ĩ.ˈvɐj.ʒɐ,envy,noun,,,,"Envêja, envejè, envéjo, en-veijo, inveja.",inveja,,152.0
901,Envisté,enʋisteː,vestir,vɨʃ.ˈtiɾ,dress,verb,Cochin creole,Old Portuguese,,"Envisté, vestir. Dial. coch.— Port. arch. envestir.",vestir,,152.0
902,Erdávè,eɾdaːʋeː,herdar,eɾ.ˈdaɾ,inherit,verb,,,,"Erdávè (poet.), herdar.",herdar,poético,152.0
911,Esperdição,espeɾdisaːo,desperdício,dɨʃ.pɨɾ.ˈdi.sju,waste,noun,,,,,desperdício,,
918,Fábre,faːbɾe,febre,ˈfɛ.bɾɨ,fever,adjective,,,,"Fábre {Br. 2), febre.",febre,,154.0
920,Faê,faeː,fazer,fɐ.ˈzeɾ,make,verb,,,,"Faô (p. us.), fazer.",fazer,pouco usado,154.0
925,Faltança,faltansa,falta,ˈfaɫ.tɐ,fault,noun,,,,"Faltança, falta. Cfr. duvi-dança, morança.",falta,,154.0
928,Familha,famiʎa,família,fɐ.ˈmi.ljɐ,family,noun,"Cochin creole, Macao creole",Dialetal Portuguese Alentejo,,"Familha (mais us.), familjè, família (t. us.). Familha: dial. coch. mac, alemtej. Familha-oração, oração da família. — Ingl. family prayer. Fami-lliado, o que tem família.",família,,154.0
929,familyè,familʲeː,família,fɐ.ˈmi.ljɐ,family,noun,"Cochin creole, Macao creole",,,"Familha (mais us.), familjè, família (t. us.). Familha: dial. coch. mac, alemtej. Familha-oração, oração da família. — Ingl. family prayer. Fami-lliado, o que tem família.",família,,154.0
932,Faz,fas,fácil,ˈfa.siɫ,easy,adjective,,,,"Fas, fácil. Cír.frés.",fácil,,154.0
939,Fàze,faːze,feito,ˈfɐj.tu,"made, done",adjective,,,,Fàze {subst.)^ feito.,feito,,154.0
940,Fazedo,fazedo,feito,ˈfɐj.tu,"made, done",adjective,,,,"Fazedo, fazido, feito.",feito,,154.0
941,fazido,fazido,feito,ˈfɐj.tu,"made, done",adjective,,,,"Fazedo, fazido, feito.",feito,,154.0
945,Feirréro,feireːɾo,ferreiro,fɨ.ˈRɐj.ɾu,blacksmith,noun,,,,"Feirréro {Br. i), ferreiro.",ferreiro,,154.0
946,Felizamente,felizamente,felizmente,fɨ.liʒ.ˈmẽ.tɨ,fortunately,adverb,,,,"Felizamente {Br. 2), felizmente.",felizmente,,154.0
948,Femè,femeː,fêmea,ˈfe.mjɐ,female,noun,,"Dialetal Portuguese Alentejo, Algarve",,"Femè, fêmea. Dial. alemtej. e algarv. fema. Feme-criançá, creança do sexo feminino. Feme-Drssenhoras medicas.",fêmea,,154.0
949,Féo,feːo,feio,ˈfɐj.u,ugly,adjective,,,,"Féo, feu, feio. Feudade, fealdade. Cfr. chéo.",feio,,154.0
950,feu,feu,feio,ˈfɐj.u,ugly,adjective,,,,"Féo, feu, feio. Feudade, fealdade. Cfr. chéo.",feio,,154.0
951,Feudade,feudade,fealdade,fi.aɫ.ˈda.dɨ,ugliness,noun,,,,,fealdade,,
952,Ferão,feɾaːo,ferrão,fɨ.ˈRɐ̃w̃,sting,noun,,,,"Ferão, ferrão.",ferrão,,154.0
953,Ferido,feɾido,ferida,fɨ.ˈɾi.dɐ,wound,noun,,,,"Ferido, ferida.",ferida,,154.0
955,Ferraro,feraɾo,ferreiro,fɨ.ˈRɐj.ɾu,blacksmith,noun,,,,"Ferraro, ferreiro.",ferreiro,,154.0
956,Fessão,fesaːo,feição,fɐj.ˈsɐ̃w̃,feature,noun,,,,"Fessão, feição.",feição,,154.0
957,Festè,festeː,festa,ˈfɛʃ.tɐ,feast,noun,,,,"Festè, festa.",festa,,154.0
959,Feticeria,fetiseɾia,feitiçaria,fɐj.ti.sɐ.ˈɾi.ɐ,sorcery,noun,,,,"Feticeria, feitiçaria.",feitiçaria,,154.0
960,Fetiço,fetiso,feitiço,fɐj.ˈti.su,magic spell,noun,,,,"Fetiço, feitiço. Feticéro, feiticeiro. Dial. mangmac. fitiço. Dial. mac. e cab. feticéro.",feitiço,,154.0
962,Feto,feto,feito,ˈfɐj.tu,made,adjective,,,,"Feto, feito.",feito,,154.0
968,Fieldade,fieldade,fidelidade,fi.dɨ.li.ˈda.dɨ,loyality,noun,,Old Portuguese,,"Fieldade, fidelidade. — De fiel. — Port. arch.",fidelidade,,154.0
976,Filyo,filʲo,filho,ˈfi.ʎu,child,noun,,,,"Filjo, filho (mais xis.).",filho,,155.0
978,Firmidade,fiɾmidade,firmeza,fiɾ.ˈme.zɐ,firmness,noun,,,,"Firmidade {Br. 2), firmeza.",firmeza,,155.0
979,Fisgà,fizgaː,fixar,fi.ˈksaɾ,fix,verb,,,,"Fisga, fixar. — Por equivo-cação.",fixar,,155.0
981,Fitè,fiteː,fita,ˈfi.tɐ,tape,noun,,,,"Fite, fita.",fita,,155.0
982,Flamma,flama,chama,ˈʃɐ.mɐ,flame,noun,Cochin creole,,,"Flamma, chamma (desus.). Dial. coch. Em port. é poet. Flammando, flammante, flam-mejante. Cfr. arrando.",chamma,"poético, desusado",155.0
987,Fogà,fogaː,afogar,ɐ.fu.ˈɡaɾ,drown,verb,,,,"Fogà, afogar. T. /«or^.",afogar,,155.0
988,Fólga,foːlga,fôlego,ˈfo.lɨ.ɡu,breath,noun,,,,"Folga, fôlego.",fôlego,,155.0
990,Folho,foʎo,folha,ˈfo.ʎɐ,sheet,noun,,,,"Folho {Br. i), folha.",folha,,155.0
1003,Fórea,foːɾea,ferrugem,fɨ.ˈRu.ʒɐ̃j̃,rust,noun,,,,"Fórea, fória, ferrugem. P. us. V. FURUGE.",ferrugem,,155.0
1004,fória,foːɾia,ferrugem,fɨ.ˈRu.ʒɐ̃j̃,rust,noun,,,,"Fórea, fória, ferrugem. P. us. V. FURUGE.",ferrugem,,155.0
1005,Fornè,foɾneː,forno,ˈfoɾ.nu,"oven, furnace",noun,,,,"Fome, forno. Forre, fora. Cfr. agorrè. Fortelezè, fortaleza. Fortéza, fortaleza. De forte",forno,,155.0
1006,Forrè,foreː,fora,ˈfɔ.ɾɐ,outside,adverb,,,,,fora,,
1007,Fortelezè,foɾtelezeː,fortaleza,fuɾ.tɐ.ˈle.zɐ,fortress,noun,,,,,fortaleza,,
1008,fortéza,foɾteːza,fortaleza,fuɾ.tɐ.ˈle.zɐ,fortress,noun,,,,,fortaleza,,
1009,Fortificação,foɾtifikasaːo,confirmação,kõ.fiɾ.mɐ.ˈsɐ̃w̃,confirmation,noun,,,,"Fortificação, confirmação.",confirmação,,155.0
1012,Fremoso,fɾemozo,formoso,fuɾ.ˈmo.zu,beautiful,adjective,Macao creole,Old Portuguese,,"Fremoso, formoso. Fremosura, fremesura, fremesora (p. us.), fremasora (p. us.), formosura. Dial. mac. e port. arch. fermoso. Azurara tem fre-vioso, fremosiira.",formoso,pouco usado,155.0
1013,Fremosura,fɾemozuɾa,formosura,fuɾ.mu.ˈzu.ɾɐ,beauty,noun,,,,,formosura,,
1014,fremesura,fɾemezuɾa,formosura,fuɾ.mu.ˈzu.ɾɐ,beauty,noun,,,,,formosura,,
1015,fremesora,fɾemezoɾa,formosura,fuɾ.mu.ˈzu.ɾɐ,beauty,noun,,,,,formosura,,
1016,fremasora,fɾemazoɾa,formosura,fuɾ.mu.ˈzu.ɾɐ,beauty,noun,,,,,formosura,,
1017,Frés,fɾeːs,fresco,ˈfɾeʃ.ku,fresh,adjective,,,,"Frés, frez, fresco. Cfr. fas.",fresco,,155.0
1018,frez,fɾes,fresco,ˈfɾeʃ.ku,fresh,adjective,,,,"Frés, frez, fresco. Cfr. fas.",fresco,,155.0
1020,Friu,fɾiu,frio,ˈfɾi.u,cold,noun,,,,"Friu, frio. Cfr. riu.",frio,,155.0
1027,Frúito,fɾuːjto,fruto,ˈfɾu.tu,fruit,noun,,,,,fruto,,
1028,Fruitoso,fɾuitozo,frutuoso,fɾu.ˈtwo.zu,fruitful,adjective,,,,,frutuoso,,
1030,Fugà,fugaː,afogar,ɐ.fu.ˈɡaɾ,drown,verb,Macao creole,,,"Fuga, afogar. Dial. mac.",afogar,,155.0
1031,Fugé,fud̠ʒeː,fugir,fu.ˈʒiɾ,flee,verb,,,,"Fugé, fugir.",fugir,,155.0
1032,Fula,fula,flor,ˈfloɾ,flower,noun,,All Portuguese-based creoles of India,,"Fula, fulè,  flor. Comm., Prak. tJT^ {phiU), sansk. tjí^",flor,,155.0
1033,fulè,fuleː,flor,ˈfloɾ,flower,noun,,All Portuguese-based creoles of India,,"Fula, fulè,  flor. Comm., Prak. tJT^ {phiU), sansk. tjí^",flor,,155.0
1034,Fuma,fuma,fumo,ˈfu.mu,smoke,noun,,,,,fumo,,
1036,Fundemento,fundemento,fundamento,fũ.dɐ.ˈmẽ.tu,foundation ,noun,,,,,fundamento,,
1037,Fundéza,fundeːza,fundo,ˈfũ.du,bottom,noun,,,,,fundo,,
1038,fundura,funduɾa,fundo,ˈfũ.du,bottom,noun,,,,,fundo,,
1040,Furtéza,fuɾteːza,furto,ˈfuɾ.tu,stealing,noun,,,,"Furtéza [Br. 2), furto. V",furto,,156.0
1041,Furugè,fuɾud̠ʒeː,ferrugem,fɨ.ˈRu.ʒɐ̃j̃,rust,noun,Macao creole,,,"Furugè, furuja, ferruger Dial. mac. feruji. Furrugento,",ferrugem,,156.0
1042,furuja,fuɾud̠ʒa,ferrugem,fɨ.ˈRu.ʒɐ̃j̃,rust,noun,Macao creole,,,"Furugè, furuja, ferruger Dial. mac. feruji. Furrugento,",ferrugem,,156.0
1044,Gafinhoto,gafiɲoto,gafanhoto,ɡɐ.fɐ.ˈɲo.tu,locust,noun,,,,"Gaflnhoto, gafanhoto.",gafanhoto,,156.0
1047,Gáilo,gaːjlo,gaiola,ɡaj.ˈɔ.lɐ,birdcage,noun,,,,"Gáilo, gaiola (t. us.).",gaiola,,156.0
1050,Ganyà,ganʲaː,ganhar,ɡɐ.ˈɲaɾ,earn,verb,,,,,ganhar,,
1051,Galyardè,galʲaɾdeː,galhardo,ɡɐ.ˈʎaɾ.du,dashing,noun,,,,"Galjardè, galhardo. Cfr. iljarga, caveljéro.",galhardo,,156.0
1053,Gardá,gaɾdaː,guardar,ɡwɐɾ.ˈdaɾ,save,verb,"Capeverdean creole, Singapore creole",Old Portuguese,,"Gardá, guardar. Gardamen-to, guarda, observância. Gardá: mac, singpcab. — Cardar: port. arch.",guardar,,156.0
1055,Gardecé,gaɾdeseː,agradecer,ɐ.ɡɾɐ.dɨ.ˈseɾ,thank,verb,Macao creole,Old Portuguese,,"Gardecé, gardicô (mais us.), guardicé (p. us.), agradecer. Gardecimento, gardicemen-to, gardiamento (p. us.), agradecimento. Gardicidomente, com agradecimentos. Gardecê: dial. mac. — Agardecer, garde-cer: port. arch.",agradecer,pouco usado,156.0
1056,gardicê,gaɾdiseː,agradecer,ɐ.ɡɾɐ.dɨ.ˈseɾ,thank,verb,Macao creole,Old Portuguese,,"Gardecé, gardicô (mais us.), guardicé (p. us.), agradecer. Gardecimento, gardicemen-to, gardiamento (p. us.), agradecimento. Gardicidomente, com agradecimentos. Gardecê: dial. mac. — Agardecer, garde-cer: port. arch.",agradecer,pouco usado,156.0
1057,guardicé,guaɾdiseː,agradecer,ɐ.ɡɾɐ.dɨ.ˈseɾ,thank,verb,Macao creole,Old Portuguese,,"Gardecé, gardicô (mais us.), guardicé (p. us.), agradecer. Gardecimento, gardicemen-to, gardiamento (p. us.), agradecimento. Gardicidomente, com agradecimentos. Gardecê: dial. mac. — Agardecer, garde-cer: port. arch.",agradecer,pouco usado,156.0
1058,Gardecimento,gaɾdesimento,agradecimento,ɐ.ɡɾɐ.dɨ.si.ˈmẽ.tu,acknowledgements,noun,,,,,agradecimento,,
1059,gardicemento,gaɾdisemento,agradecimento,ɐ.ɡɾɐ.dɨ.si.ˈmẽ.tu,acknowledgements,noun,,,,,agradecimento,,
1060,gardiamento,gaɾdiamento,agradecimento,ɐ.ɡɾɐ.dɨ.si.ˈmẽ.tu,acknowledgements,noun,,,,,agradecimento,,
1073,Geresan,d̠ʒeɾezan,geração,ʒɨ.ɾɐ.ˈsɐ̃w̃,generation,noun,,,,"Geresan, geração.",geração,,156.0
1078,Goldiçà,goldisaː,apetecer,ɐ.pɨ.tɨ.ˈseɾ,feel like,verb,,,,,appetecer,,
1079,Gotiá,gotiaː,gotejar,ɡu.tɨ.ˈʒaɾ,drip,verb,,,,"Gotiá, gottejar. Cfr. subia, festiá.",gottejar,,156.0
1088,Gran,gɾan,grão,ˈɡɾɐ̃w̃,grain,noun,,,,"Gran, grão {subst.}.",grão,,156.0
1096,Greja,gɾed̠ʒa,igreja,i.ˈɡɾɐj.ʒɐ,church,noun,"Bengali, Capeverdean creole, Macao creole",,,"Greja, igreja (mais us.). Gre:ça: dial. mac. cab. — Beng. U\ t{ Ú I (girijâ), hindi íil^dl",igreja,,157.0
1097,Grijo,gɾid̠ʒo,grilo,ˈɡɾi.lu,cricket,noun,,,,Grijo {Baut.)^ grillo.,grillo,,157.0
1103,Guerrà,geraː,guerrear,ɡɨ.ˈRi.aɾ,fight,verb,,,,,guerrear,,
1107,Harpo,aɾpo,harpa,ˈaɾ.pɐ,harp,noun,,,,"Harpo, harpa.",harpa,,157.0
1109,Herdança,eɾdansa,herança,e.ˈɾɐ̃.sɐ,inheritance,noun,Capeverdean creole,Old Portuguese,,"Herdança, herança. Dial. mac, cab. — Port. arch. e dial.",herança,,157.0
1110,Heregia,eɾed̠ʒia,heresia,e.ɾɨ.ˈzi.ɐ,heresy,noun,,,,"Heregia, herecia, heresia. Herejia: na Ethiop. Or.",heresia,,157.0
1111,herecia,eɾesia,heresia,e.ɾɨ.ˈzi.ɐ,heresy,noun,,,,"Heregia, herecia, heresia. Herejia: na Ethiop. Or.",heresia,,157.0
1114,Heridá,eɾidaː,herdar,eɾ.ˈdaɾ,inherit,verb,,,Novo testamento,"Heridá {N. T"".), herdar (mais us.).",herdar,,157.0
1115,Histórè,istoːɾeː,história,iʃ.ˈtɔ.ɾjɐ,story,noun,,,,"Histórè {Br. i), historia. V.",historia,,157.0
1116,Hojo,od̠ʒo,hoje,ô.je,today,adverb,,,,"Hojo, hôjoe, hoje. V. ouo.",hoje,,157.0
1117,hôjoe,oːd̠ʒoe,hoje,ô.je,today,adverb,,,,"Hojo, hôjoe, hoje. V. ouo.",hoje,,157.0
1119,Home,ome,homem,ˈɔm,man,noun,Macao creole,Dialectal Portuguese,,"Home, homi, homem. Dial. mac. — Port. Dialetal Portuguese.",homem,,157.0
1120,homi,omi,homem,ˈɔm,man,noun,Macao creole,Dialectal Portuguese,,"Home, homi, homem. Dial. mac. — Port. Dialetal Portuguese.",homem,,157.0
1121,Homicido,omisido,homicídio,u.mi.ˈsi.dju,homicide,noun,,,,"Homicido, homicídio. Mais us. matança, matacão.",homicídio,,157.0
1122,Honeste,oneste,honesto,u.ˈnɛʃ.tu,honest,adjective,,,,"Honeste, honesto. Honestamente, honestamente.",honesto,,157.0
1132,Humildo,umildo,humilde,u.ˈmiɫ.dɨ,humble,noun,,,,"Humildo, humilde. Humil-deza, humildade. Cfr. bastanto, restanto.",humilde,,157.0
1133,Humildeza,umildeza,humildade,u.miɫ.ˈda.dɨ,humility,noun,,,,,humildade,,
1134,Humiliação,umiliasaːo,humilhação,u.mi.ʎɐ.ˈsɐ̃w̃,humiliation,noun,,,,"Humiliaçâo, humilhação.",humilhação,,157.0
1139,Idolateiro,idolateiɾo,idólatra,i.ˈdɔ.lɐ.tɾɐ,idolater,noun,,,,,idólatra,,
1140,idoloteiro,idoloteiɾo,idólatra,i.ˈdɔ.lɐ.tɾɐ,idolater,noun,,,,,idólatra,,
1142,Ilya,ilʲa,ilha,ˈi.ʎɐ,island,noun,,,,"Ilja, ilha (t. us.).",ilha,,158.0
1144,Imajo,imad̠ʒo,imagem,i.ˈma.ʒɐ̃j̃,image,noun,,,,"Imajo, imagem. Cfr. corajo, passajo, viajo.",imagem,,158.0
1146,Impioso,impiozo,ímpio,ˈĩ.pju,wicked,noun,,,,"Impioso, Ímpio. Cfr. ale-groso, varioso.",Ímpio,,158.0
1147,Importado,impoɾtado,importante,ĩ.puɾ.ˈtɐ̃.tɨ,important,adjective,,,,"Importado, importante. Cfr. contentado, alegrado. Impor-tadomente, com importância, insistentemente, diligentemente.",importante,,158.0
1148,Importança,impoɾtansa,importância,ĩ.puɾ.ˈtɐ̃.sjɐ,importance,noun,,,,"Importança,  importância.",importância,,158.0
1151,Impressado,impɾesado,impresso,ĩ.ˈpɾɛ.su,printed,noun,,,,,impresso,,
1152,Impressador,impɾesadoɾ,impressor,ĩ.pɾɨ.ˈsoɾ,printer,noun,,,,,impressor,,
1153,Impuridade,impuɾidade,impureza,ĩ.pu.ˈɾe.zɐ,impurity,noun,,,,"Impuridade, impureza. Cfr. puridade.",impureza,,158.0
1164,Infruitoso,infɾuitozo,infrutífero,ĩ.fɾu.ˈti.fɨ.ɾu,fruitless,adjective,,,,"Infruitoso, ínfructifero. T. desfruitoso. — De fruitoso.",ínfructifero,,158.0
1165,Ingres,ingɾes,inglês,ĩ.ˈgleʃ,english,noun,Capeverdean creole,Old Portuguese,,"Ingres, English. Dial. cab. — Port. arch.",English,,158.0
1167,Injoelho,ind̠ʒoeʎo,joelho,ˈʒwɐj.ʎu,knee,noun,,,,"Injoelho, injivelho, inje-vejo, injivejo, joelho. Injoelhos {adv.)^ em joelhos, ajoelhado.— De em-{-joelho. Cfr. impe.",joelho,,158.0
1168,injivelho,ind̠ʒiʋeʎo,joelho,ˈʒwɐj.ʎu,knee,noun,,,,"Injoelho, injivelho, inje-vejo, injivejo, joelho. Injoelhos {adv.)^ em joelhos, ajoelhado.— De em-{-joelho. Cfr. impe.",joelho,,158.0
1169,injevejo,ind̠ʒeʋed̠ʒo,joelho,ˈʒwɐj.ʎu,knee,noun,,,,"Injoelho, injivelho, inje-vejo, injivejo, joelho. Injoelhos {adv.)^ em joelhos, ajoelhado.— De em-{-joelho. Cfr. impe.",joelho,,158.0
1170,injivejo,ind̠ʒiʋed̠ʒo,joelho,ˈʒwɐj.ʎu,knee,noun,,,,"Injoelho, injivelho, inje-vejo, injivejo, joelho. Injoelhos {adv.)^ em joelhos, ajoelhado.— De em-{-joelho. Cfr. impe.",joelho,,158.0
1173,Instruição,instɾuisaːo,instrução,ĩʃ.tɾu.ˈsɐ̃w̃,instruction,noun,,Old Portuguese,,"Instruição, ínstrucção. — Port. arch.",ínstrucção,,158.0
1177,Intergridade,inteɾgɾidade,integridade,ĩ.tɨ.ɡɾi.ˈda.dɨ,integrity,noun,,,,"Intergridade {Br. i), integridade.",integridade,,158.0
1179,Intrudição,intɾudisaːo,introdução,ĩ.tɾu.du.ˈsɐ̃w̃,introduction,noun,,,,"Intmdição, introducção.",introducção,,159.0
1180,Inveijo,inʋeid̠ʒo,inveja,ĩ.ˈvɐj.ʒɐ,envy,noun,,,,Inveijo. V. ENVEijo.,inveja,,159.0
1181,Iremão,iɾemaːo,irmão,iɾ.ˈmɐ̃w̃,brother,noun,,,,"Iremão (p. us.), irmão. Cfr. caravão, oravai.",irmão,pouco usado,159.0
1183,Irmana,iɾmana,irmã,iɾ.ˈmɐ̃,sister,noun,,,,"Irmana, irmã. Cfr. confina.",irmã,,159.0
1186,Istôri,istoːɾi,história,iʃ.ˈtɔ.ɾjɐ,story,noun,,,,,história,,
1187,Jà,d̠ʒaː,já,ˈʒa,already,adverb,Macao creole,"All Portuguese-based creoles of India, Diu creole, Daman creole",,"Jà, já. Partic, do pret. perf. Comm. Dial. mac. Dial. nort. ás vezes y»'.",já,,159.0
1194,Jàsper,d̠ʒaːspeɾ,jaspe,ˈʒaʃ.pɨ,jasper,noun,,,,"Jàsper, jaspe. Jásper-mar, mar de jaspe.",jaspe,,159.0
1196,Javi,d̠ʒaʋi,veio,ˈvɐj.u,he came,verb,,,,"Javi, javitem, veiu.",veiu,,159.0
1197,javitem,d̠ʒaʋitem,veio,ˈvɐj.u,he came,verb,,,,"Javi, javitem, veiu.",veiu,,159.0
1200,Jinjúa,d̠ʒind̠ʒuːa,jejum,ʒɨ.ˈʒũ,fasting,noun,Macao creole,,,"Jinjúa, jinúa (p. us.),jinju-nação, jejum. Jinjuà, jejuar. Jinjum: dial. mac.",jejum,pouco usado,159.0
