SriLanka_creole,phonetic_transcription,phono_TRSVD,phono_CV
Sumana,sumana,SV.RVRV,CV.CVCV
sumanè,sumaneː,SV.RVRV,CV.CVCV
Superemo,supeɾemo,SV.TV.RVRV,CV.CV.CVCV
Susaso,suzazo,SV.SV.SV,CV.CV.CV
Suspira,suspiɾa,SVS.TV.RV,CVC.CV.CV
Suvà,suʋaː,SV.TV,CV.CV
Telegramo,telegɾamo,TV.RV.TRV.RV,CV.CV.CCV.CV
Telhada,teʎada,TV.RV.TV,CV.CV.CV
Temaro,temaɾo,TV.RVRV,CV.CVCV
Tenro,tenɾo,TVR.RV,CVC.CV
Terivel,teɾiʋel,TV.RV.TVR,CV.CV.CVC
Tirnia,tiɾnia,TVR.RV.V,CVC.CV.V
Tirrá,tiraː,TV.RV,CV.CV
Topàz,topaːs,TV.TVS,CV.CVC
Tortil,toɾtil,TVR.TVR,CVC.CVC
Torno,toɾno,TVR.RV,CVC.CV
Traducê,tɾaduseː,TRV.TV.SV,CCV.CV.CV
Trahido,tɾaido,TRV.V.TV,CCV.V.CV
Transgressá,tɾanzgɾesaː,TRVRS.TRV.SV,CCVCC.CCV.CV
Trapá,tɾapaː,TRV.TV,CCV.CV
Travelho,tɾaʋeʎo,TRV.TV.RV,CCV.CV.CV
travajo,tɾaʋad̠ʒo,TRV.TV.TV,CCV.CV.CV
travai,tɾaʋai,TRV.TV.V,CCV.CV.V
travia,tɾaʋia,TRV.TV.V,CCV.CV.V
Travalhá,tɾaʋaʎaː,TRV.TV.RV,CCV.CV.CV
travalyá,tɾaʋalʲaː,TRV.TV.RV,CCV.CV.CV
travejá,tɾaʋed̠ʒaː,TRV.TV.TV,CCV.CV.CV
traveliá,tɾaʋeliaː,TRV.TV.RV.V,CCV.CV.CV.V
traviá,tɾaʋiaː,TRV.TV.V,CCV.CV.V
Trémè,tɾeːmeː,TRV.RV,CCV.CV
Trevessado,tɾeʋesado,TRV.TV.SV.TV,CCV.CV.CV.CV
trevesado,tɾeʋezado,TRV.TV.SV.TV,CCV.CV.CV.CV
arrevezado,areʋezado,V.RV.TV.SV.TV,V.CV.CV.CV.CV
Tribulá,tɾibulaː,TRV.TV.RV,CCV.CV.CV
Trimi,tɾimi,TRV.RV,CCV.CV
Trinidade,tɾinidade,TRV.RV.TV.TV,CCV.CV.CV.CV
Trintè,tɾinteː,TRVR.TV,CCVC.CV
Triómpha,tɾioːmfa,TRV.VR.TV,CCV.VC.CV
Triompliante,tɾiompliante,TRV.VR.TRV.VR.TV,CCV.VC.CCV.VC.CV
Tristézè,tɾisteːzeː,TRVS.TV.SV,CCVC.CV.CV
Trova,tɾoʋa,TRV.TV,CCV.CV
truvá,tɾuʋaː,TRV.TV,CCV.CV
Trocamento,tɾokamento,TRV.TV.RVR.TV,CCV.CV.CVC.CV
Trombeto,tɾombeto,TRVR.TV.TV,CCVC.CV.CV
trumbetè,tɾumbeteː,TRVR.TV.TV,CCVC.CV.CV
Trusamento,tɾuzamento,TRV.SV.RVR.TV,CCV.CV.CVC.CV
Ungiá,und̠ʒiaː,VR.TV.V,VC.CV.V
Urvis,uɾʋis,VR.TVS,VC.CVC
Vadade,ʋadade,TV.TV.TV,CV.CV.CV
Valante,ʋalante,TV.RVR.TV,CV.CVC.CV
Valiá,ʋaliaː,TV.RV.V,CV.CV.V
Vanda,ʋanda,TVR.TV,CVC.CV
Vatti,ʋatːi,TV.TV,CV.CV
Vença,ʋensa,TVR.SV,CVC.CV
vencà,ʋenkaː,TVR.TV,CVC.CV
Verdedeiro,ʋeɾdedeiɾo,TVR.TV.TVG.RV,CVC.CV.CVG.CV
Vésper,ʋeːspeɾ,TVS.TVR,CVC.CVC
Vido,ʋido,TV.TV,CV.CV
Vigári,ʋigaːɾi,TV.TV.RV,CV.CV.CV
Vigil,ʋid̠ʒil,TV.TVR,CV.CVC
Vin',ʋinə,TV.RV,CV.CV
Vindo,ʋindo,TVR.TV,CVC.CV
Vintôrè,ʋintoːɾeː,TVR.TV.RV,CVC.CV.CV
Vinteroso,ʋinteɾozo,TVR.TV.RV.SV,CVC.CV.CV.CV
vintroso,ʋintɾozo,TVR.TRV.SV,CVC.CCV.CV
Virrá,ʋiraː,TV.RV,CV.CV
Vistê,ʋisteː,TVS.TV,CVC.CV
vistá,ʋistaː,TVS.TV,CVC.CV
Vizia,ʋizia,TV.SV.V,CV.CV.V
Viziá,ʋiziaː,TV.SV.V,CV.CV.V
